issue_number,turn_count,reassignment_count,reopen_count,resolution_success,sla_breach_flag,sla_remaining_norm,sla_limit_hours,frustration_score,interaction_depth,first_response_time_hours
300690,0,0,0,0,0,0.9992,24.0,0.0,0,-1.0
300681,2,2,0,1,0,0.8642,72.0,0.051,4,0.01
300680,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300672,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300671,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
300670,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300668,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300667,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300661,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300660,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300655,7,1,0,1,0,0.8606,72.0,0.0637,7,0.08
300652,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300649,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
300646,1,0,0,1,1,0.0,24.0,0.0064,1,67.96
300643,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300635,1,0,0,0,0,0.9997,72.0,0.0064,1,0.01
300634,4,2,0,0,1,0.0,72.0,0.0637,6,0.09
300631,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300630,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300627,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300626,1,0,0,0,0,0.9938,24.0,0.0064,1,8.09
300621,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300611,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300602,5,2,0,0,1,0.0,72.0,0.0701,7,54.66
300601,4,1,0,1,0,0.4375,48.0,0.0446,4,7.93
300595,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300590,1,0,0,0,1,0.0,24.0,0.0064,1,32.97
300581,2,1,0,0,1,0.0,72.0,0.0318,3,76.77
300572,2,2,0,0,1,0.0,72.0,0.051,4,167.88
300561,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300553,3,2,0,0,1,0.0,72.0,0.0573,4,78.79
300549,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300548,1,0,0,0,0,0.9996,72.0,0.0064,1,0.02
300545,2,2,0,0,1,0.0,48.0,0.051,3,80.5
300542,0,0,0,0,0,0.9988,72.0,0.0,0,-1.0
300536,2,2,0,1,0,0.2756,48.0,0.051,4,32.15
300530,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300526,0,1,0,0,0,0.9992,24.0,0.0191,1,-1.0
300523,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300516,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300512,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300511,1,0,0,0,0,0.9997,72.0,0.0064,1,0.01
300510,4,1,0,0,1,0.0,72.0,0.0446,3,22.63
300509,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300508,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300507,5,2,0,1,0,0.3031,72.0,0.0701,4,1.17
300503,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
300502,4,1,0,1,0,0.8235,48.0,0.0446,3,0.06
300500,2,1,0,0,0,0.6292,48.0,0.0318,3,0.61
300482,2,3,0,0,0,0.2506,72.0,0.0701,5,4.01
300481,6,0,0,0,1,0.0,24.0,0.0382,3,0.33
300480,1,2,0,0,1,0.0,72.0,0.0446,3,78.3
300479,0,1,0,0,1,0.0,72.0,0.0191,1,-1.0
300476,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300471,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300462,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300451,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300449,0,0,0,0,0,0.9992,24.0,0.0,0,-1.0
300446,5,2,0,1,0,0.6235,48.0,0.0701,5,1.78
300441,1,0,0,0,0,0.9997,72.0,0.0064,1,0.0
300427,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300421,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
300420,7,3,0,1,0,0.6278,72.0,0.1019,10,0.04
300419,4,2,0,1,0,0.1819,48.0,0.0637,6,2.35
300413,3,3,0,1,1,0.0,72.0,0.0764,5,154.21
300401,0,0,0,0,0,0.9996,72.0,0.0,0,-1.0
300399,2,1,0,1,0,0.835,24.0,0.0318,3,0.02
300394,0,0,0,0,1,0.0,24.0,0.0,0,-1.0
300388,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
300387,0,0,0,0,0,0.9997,72.0,0.0,0,-1.0
111661,2,2,0,1,0,0.5669,72.0,0.051,4,3.49
110532,5,2,0,1,1,0.0,72.0,0.0701,6,2.01
110139,1,2,0,0,1,0.0,72.0,0.0446,3,0.66
109949,3,2,0,1,1,0.0,72.0,0.0573,4,33.43
109523,2,2,0,0,1,0.0,72.0,0.051,4,0.19
109522,1,2,0,0,1,0.0,72.0,0.0446,3,207.54
109516,1,2,0,0,1,0.0,72.0,0.0446,3,208.79
109469,3,2,0,1,0,0.4347,72.0,0.0573,4,0.07
109112,1,1,0,0,1,0.0,72.0,0.0255,2,346.96
109016,2,2,0,0,1,0.0,72.0,0.051,4,364.91
109015,2,2,0,0,1,0.0,72.0,0.051,4,363.25
108629,1,1,0,0,0,0.7494,72.0,0.0255,2,18.04
108628,1,1,0,0,0,0.7439,72.0,0.0255,2,18.44
108608,3,2,0,1,0,0.6297,72.0,0.0573,5,13.8
108605,2,1,0,1,0,0.6244,72.0,0.0318,3,0.1
108594,4,1,0,0,1,0.0,72.0,0.0446,4,50.85
108548,1,2,0,0,0,0.4229,72.0,0.0446,3,41.55
108521,2,1,0,1,0,0.9971,72.0,0.0318,3,0.21
108502,1,1,0,1,1,0.0,72.0,0.0255,2,183.56
